review,platform,rating,date
"Kyanon là môi trường làm việc tuyệt vời, sếp rất hỗ trợ nhân viên.",LinkedIn,5,2024-12-01
"Văn hóa tốt nhưng dự án hơi căng thẳng, OT nhiều.",Facebook,3,2025-01-10
"Không recommend, quản lý khó làm việc và thiếu minh bạch.",Glassdoor,2,2025-02-14
"Team rất chuyên nghiệp, học hỏi được nhiều, lương ổn định.",Google Review,4,2025-03-01
Cơ hội phát triển tốt nhưng quy trình nội bộ còn chậm.,Indeed,3,2025-04-05
"Làm việc tại đây gần 2 năm, rất hài lòng với sự hỗ trợ từ team lead.",LinkedIn,5,2025-05-20
"Dự án outsource nhiều, ít cơ hội sáng tạo sản phẩm.",Glassdoor,2,2025-06-01
"Văn phòng đẹp, môi trường trẻ trung, đáng để trải nghiệm.",Facebook,4,2025-06-15
Không có nhiều cơ hội thăng tiến nếu không biết nịnh sếp.,Google Review,2,2025-06-18
"Công ty tập trung vào công nghệ mới, rất phù hợp với người trẻ.",LinkedIn,5,2025-06-24
